id,category
Plus Size Fashion,Shopping.Fashion.Plus Size Fashion
Shoe Stores,Shopping.Fashion.Shoe Stores
Sports Wear,Shopping.Fashion.Sports Wear
Surf Shop,Shopping.Fashion.Surf Shop
Swimwear,Shopping.Fashion.Swimwear
"Used, Vintage & Consignment","Shopping.Fashion.Used, Vintage & Consignment"
Women's Clothing,Shopping.Fashion.Women's Clothing
Fireworks,Shopping.Fireworks
Flea Markets,Shopping.Flea Markets
Flowers & Gifts,Shopping.Flowers & Gifts
Cards & Stationery,Shopping.Flowers & Gifts.Cards & Stationery
Florists,Shopping.Flowers & Gifts.Florists
Gift Shops,Shopping.Flowers & Gifts.Gift Shops
Golf Equipment Shops,Shopping.Golf Equipment Shops
Guns & Ammo,Shopping.Guns & Ammo
Hobby Shops,Shopping.Hobby Shops
Home & Garden,Shopping.Home & Garden
Appliances,Shopping.Home & Garden.Appliances
Furniture Stores,Shopping.Home & Garden.Furniture Stores
Hardware Stores,Shopping.Home & Garden.Hardware Stores
Home D?cor,Shopping.Home & Garden.Home D?cor
Hot Tub & Pool,Shopping.Home & Garden.Hot Tub & Pool
Kitchen & Bath,Shopping.Home & Garden.Kitchen & Bath
Mattresses,Shopping.Home & Garden.Mattresses
Nurseries & Gardening,Shopping.Home & Garden.Nurseries & Gardening
Jewelry,Shopping.Jewelry
Knitting Supplies,Shopping.Knitting Supplies
Luggage,Shopping.Luggage
Medical Supplies,Shopping.Medical Supplies
Mobile Phones,Shopping.Mobile Phones
Motorcycle Gear,Shopping.Motorcycle Gear
Musical Instruments & Teachers,Shopping.Musical Instruments & Teachers
Office Equipment,Shopping.Office Equipment
Outlet Stores,Shopping.Outlet Stores
Pawn Shops,Shopping.Pawn Shops
Personal Shopping,Shopping.Personal Shopping
Photography Stores & Services,Shopping.Photography Stores & Services
Pool & Billiards,Shopping.Pool & Billiards
Pop-up Shops,Shopping.Pop-up Shops
Shopping Centers,Shopping.Shopping Centers
Sporting Goods,Shopping.Sporting Goods
Bikes,Shopping.Sporting Goods.Bikes
Golf Equipment,Shopping.Sporting Goods.Golf Equipment
Outdoor Gear,Shopping.Sporting Goods.Outdoor Gear
Sports Wear,Shopping.Sporting Goods.Sports Wear
Thrift Stores,Shopping.Thrift Stores
Tobacco Shops,Shopping.Tobacco Shops
Toy Stores,Shopping.Toy Stores
Trophy Shops,Shopping.Trophy Shops
Uniforms,Shopping.Uniforms
Watches,Shopping.Watches
Wholesale Stores,Shopping.Wholesale Stores
Wigs,Shopping.Wigs
